name,price,usual_price,discount,description,url,image,categories,store
LU Mini crackers olijfolie & oregano,1.79,1.79,null,Op basis van tarwebloem 1 verpakking bevat 8 pakjes van ieder 5 duocrackers Smakelijk en krokant Vega,"https://www.ah.nl/producten/product/wi2432/lu-mini-crackers-olijfolie-en-oregano
",https://static.ah.nl/dam/product/AHI_43545239373331313832?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Bakkerij en banket/Crackers/Toast-crackers,Albert Heijn
Campina Echte slagroom,2.39,2.39,null,"Heerlijk romig en vol van smaak Lekker in combinatie met een stuk appeltaart, gebak of warme drank Voor wie echt wil genieten Vega","https://www.ah.nl/producten/product/wi2455/campina-echte-slagroom
",https://static.ah.nl/dam/product/AHI_43545239373933303433?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Zuivel, plantaardig en eieren/Creme fraiche, slagroom, kookroom, kokosmelk/Slagroom",Albert Heijn
AH Roomboter gezouten,2.99,2.99,null,Wat is Nutri-Score? Vol en romig van smaak Van de beste zuivel Vega,"https://www.ah.nl/producten/product/wi2456/ah-roomboter-gezouten
",https://static.ah.nl/dam/product/AHI_43545239383735363835?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Zuivel, plantaardig en eieren/Boter/Boter voor de keuken/Gezouten roomboter",Albert Heijn
Chocomel De enige echte vol,1.49,1.49,1.49,"Romig, vol van smaak en altijd onweerstaanbaar lekker. We hebben het trouwens nog steeds over chocomel! Rainforest alliance keurmerk Om van te genieten bij iedere gelegenheid Warm en koud net zo lekker Vega","https://www.ah.nl/producten/product/wi2465/chocomel-de-enige-echte-vol
",https://static.ah.nl/dam/product/AHI_43545239393430323338?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Zuivel, plantaardig en eieren/Chocolademelk/Chocolademelk (pakken)",Albert Heijn
Chocomel De enige echte halfvol,1.49,1.49,1.49,"Wat is Nutri-Score? Ook al is deze variant halfvol, met Chocomel gooi je je glas altijd vol! Want er gaat natuurlijk niks boven de smaak van de enige echte. Rainforest alliance keurmerk Om van te genieten bij iedere gelegenheid Warm en koud net zo lekker Probeer ook onze heerlijke chocomel-recepten: van ijskoffie tot toppings Vega","https://www.ah.nl/producten/product/wi2466/chocomel-de-enige-echte-halfvol
",https://static.ah.nl/dam/product/AHI_43545239393430323430?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Zuivel, plantaardig en eieren/Chocolademelk/Chocolademelk (pakken)",Albert Heijn
Chiarli 1860 Lambrusco rosso,2.39,2.39,null,"Kleur, smaak: rood, fruitig Druivenras: lambrusco Land, streek: Italie, Emilia Romagna Lekker bij: kaas, dessert VegaPrijswinnaar","https://www.ah.nl/producten/product/wi2524/chiarli-1860-lambrusco-rosso
",https://static.ah.nl/dam/product/AHI_43545239383339313339?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Wijn en bubbels/Rode wijn/Overige rode wijn/Lambrusco,Albert Heijn
Martini Bianco,7.59,7.59,null,"Martini bianco vermouth is gemaakt van zoete, bloemige kruiden Martini bianco vermouth is de expressie van luigi rossi Martini bianco vermouth is geinspireerd door de natuur Martini bianco vermouth is uiterst veelzijdig","https://www.ah.nl/producten/product/wi2687/martini-bianco
",https://static.ah.nl/dam/product/AHI_43545239373333323837?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Wijn en bubbels/Vermout,Albert Heijn
Martini Extra dry,7.99,7.99,null,"Pittig, geparfumeerd en licht Alcoholpercentage: 18.0%","https://www.ah.nl/producten/product/wi2688/martini-extra-dry
",https://static.ah.nl/dam/product/AHI_43545239363735363632?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Wijn en bubbels/Vermout,Albert Heijn
Martini Rosso,7.99,7.99,null,"Martini: een echt italiaans icoon die over de hele wereld wordt gedronken Het originele recept van luigi rossi is ontwikkeld in de jaren 1860 Martini rosso is een uniek smakende en bitterzoete vermout, Het hart bestaat voor een groot deel uit Italiaanse kruiden","https://www.ah.nl/producten/product/wi2689/martini-rosso
",https://static.ah.nl/dam/product/AHI_43545239353432343432?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Wijn en bubbels/Vermout,Albert Heijn
Domecq Sherry fino,5.99,5.99,null,"Druivenras: palomino Land, streek: Spanje, Jerez Lekker bij: kip, kaas VeganPrijswinnaar","https://www.ah.nl/producten/product/wi2692/domecq-sherry-fino
",https://static.ah.nl/dam/product/AHI_43545239373833393838?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Wijn en bubbels/Droge sherry/Spaanse sherry (droog),Albert Heijn
